p,q,dim,C2,Z,Z_normalized,Z_dimensionless,C_matter,S_holonomy,covering_radius_mean,covering_radius_std,kissing_number_mean,packing_efficiency_mean,packing_efficiency_std,n_shells,Z_eff,C_per_state,Z_per_state,S_per_state,Z_per_C2,min_pq,max_pq,mixing_index,symmetry_index,rep_type
2,4,60,15.333333333333334,0.3035585140783173,0.019797294396412,0.0241564190165974,1824.7122339622408,553.9069343621048,1.2534942590758378,0.7984594224220706,1.915419501133787,0.7870969656515019,0.3425322527997117,7,0.3035585140783173,30.411870566037347,0.005059308567971955,9.231782239368414,0.019797294396411997,2,4,8,2,mixed
2,5,81,20.0,0.231494192592991,0.0115747096296495,0.0184217225241208,2486.4352073344435,575.5953107566733,1.0927035374444316,0.8002576409152187,1.8208333333333333,0.8231227687910352,0.3303049982950051,8,0.231494192592991,30.696730954746215,0.0028579529949751977,7.10611494761325,0.01157470962964955,2,5,10,3,mixed
2,6,105,25.33333333333333,0.2005081103323359,0.0079147938289079,0.0159559284447031,3300.0779221174416,661.6923881132298,0.9610637890384088,0.7967650801787584,1.915873015873016,0.8505170745055523,0.3194018336532012,9,0.2005081103323359,31.429313543975635,0.0019096010507841513,6.301832267745045,0.007914793828907998,2,6,12,4,mixed
3,0,10,6.0,0.0198765722658307,0.0033127620443051,0.0015817273639151,582.7358272009467,11.5827907812483,2.5261129449194057,0.6154797086703874,0.75,0.6123296101126339,0.4035515133508293,4,0.0198765722658307,58.273582720094666,0.00198765722658307,1.15827907812483,0.0033127620443051168,0,3,0,3,pure
3,1,24,8.333333333333334,0.3104922707720668,0.037259072492648,0.0247081898426008,893.9955200572068,277.57869908261694,1.7296997860058003,0.7320044457068667,2.4466666666666668,0.7414213562155739,0.3876781816265416,5,0.3104922707720668,37.24981333571695,0.012937177948836117,11.565779128442372,0.03725907249264802,1,3,3,2,mixed
3,2,42,11.333333333333334,0.3249112961910697,0.0286686437815649,0.0258556194276018,1301.679114877323,422.93024843963536,1.4662700303603833,0.7804704962769008,1.7592592592592593,0.7378222129357187,0.3552059264844573,6,0.3249112961910697,30.9923598780315,0.007735983242644516,10.069767819991318,0.02866864378156497,2,3,6,1,mixed
3,3,64,15.0,0.3927885080685985,0.0261859005379065,0.0312571163244041,1823.0219138053844,716.0620576999783,1.176936081771084,0.8258464333365051,2.6979591836734693,0.8054339162804443,0.35173553115795,7,0.3927885080685985,28.48471740320913,0.0061373204385718515,11.18846965156216,0.026185900537906568,3,3,9,0,mixed
3,4,90,19.33333333333333,0.3010061003889637,0.0155692810546015,0.0239533043888594,2489.5578663763117,749.3721050506023,1.0864648320740609,0.8068134121674975,1.8427083333333332,0.789897048835918,0.3319104987958404,8,0.3010061003889637,27.66175407084791,0.003344512226544041,8.32635672278447,0.015569281054601574,3,4,12,1,mixed
3,5,120,24.33333333333333,0.2611218201968336,0.0107310337067191,0.0207794142167395,3310.7811786143084,864.5172076331864,0.9530866201240666,0.8026326309515385,1.88015873015873,0.8180413817295219,0.3188128464969589,9,0.2611218201968336,27.589843155119237,0.002176015168306947,7.204310063609887,0.010731033706719191,3,5,15,2,mixed
4,0,15,9.333333333333334,0.0197234369387408,0.0021132253862936,0.0015695412417809,891.434876224044,17.58215956619923,2.0980427554560235,0.8570359199639704,0.8666666666666666,0.6894427190971445,0.4057939589020385,5,0.0197234369387408,59.4289917482696,0.0013148957959160533,1.1721439710799486,0.002113225386293657,0,4,0,4,pure
