p,q,dim,C2,Z,Z_normalized,Z_dimensionless,C_matter,S_holonomy,covering_radius_mean,covering_radius_std,kissing_number_mean,packing_efficiency_mean,packing_efficiency_std,n_shells
0,1,3,1.3333333333333333,0.015051303866778021,0.011288477900083516,0.00119774470518794,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2
0,2,6,3.3333333333333335,0.01974378827501599,0.005923136482504797,0.0015711607496643003,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.42815235011176256,0.30734889434300644,3
0,3,10,6.0,0.019876572265830787,0.003312762044305131,0.001581727363915122,582.7358272009467,11.582790781248299,2.526112944919406,0.6154797086703871,0.75,0.6123296101126336,0.40355151335082917,4
0,4,15,9.333333333333334,0.019723436938740898,0.0021132253862936675,0.001569541241780947,891.434876224044,17.58215956619923,2.0980427554560235,0.8570359199639703,0.8666666666666666,0.6894427190971445,0.40579395890203857,5
1,0,3,1.3333333333333333,0.015051303866778021,0.011288477900083516,0.00119774470518794,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2
1,1,8,3.0,0.958255969892403,0.319418656630801,0.0762555871778472,364.22361514287854,349.0194535864564,3.141592653589793,0.0,1.111111111111111,0.3591167563851109,0.25588981948389944,3
1,2,15,5.333333333333333,0.3592316857799466,0.06735594108373999,0.028586749253556514,588.741535963731,211.49461445292616,2.2183730905842123,0.533021063222401,2.25,0.5788843195523021,0.3398465760917643,4
1,3,24,8.333333333333334,0.31049227077206676,0.03725907249264801,0.02470818984260082,893.9955200572068,277.5786990826169,1.7296997860058003,0.7320044457068666,2.4466666666666668,0.7414213562155739,0.38767818162654166,5
2,0,6,3.3333333333333335,0.01974378827501599,0.005923136482504797,0.0015711607496643003,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.42815235011176256,0.30734889434300644,3
2,1,15,5.333333333333333,0.5135609002567574,0.09629266879814201,0.04086787792729338,588.741535963731,302.3546332280798,2.2183730905842123,0.5330210632224008,2.25,0.5788843195523021,0.3398465760917642,4
2,2,27,8.0,0.5535987838894781,0.06919984798618477,0.04405399147283618,892.587592802737,494.1354058904319,1.6755160819145563,0.7695298980971185,2.368888888888889,0.71221877151344,0.3763420124847685,5
3,0,10,6.0,0.019876572265830787,0.003312762044305131,0.001581727363915122,582.7358272009467,11.582790781248299,2.5261129449194057,0.6154797086703874,0.75,0.6123296101126339,0.4035515133508293,4
3,1,24,8.333333333333334,0.3104922707720668,0.03725907249264802,0.024708189842600828,893.9955200572068,277.57869908261694,1.7296997860058005,0.7320044457068667,2.4466666666666668,0.7414213562155739,0.38767818162654166,5
4,0,15,9.333333333333334,0.019723436938740898,0.0021132253862936675,0.001569541241780947,891.434876224044,17.58215956619923,2.0980427554560235,0.8570359199639704,0.8666666666666666,0.6894427190971445,0.40579395890203857,5
