p,q,dim,C2,C_matter,C_berry,C_symplectic,S_wilson,S_plaquette,S_total,Z_impedance,Z_normalized,Z_dimensionless,num_shells,entropy_matter,entropy_gauge,info_conversion
0,0,1,0.0,12.88259838037601,0.0,12.566370614359172,1.0,0.0,1.316227766016838,0.10217098501043395,0.10217098501043395,0.008130508652489253,1,2.555877437936746,0.2747698924083453,-2.2811075455284007
0,1,3,1.3333333333333333,199.31828010075245,0.0,195.85417848561468,1.0,0.0,3.0,0.015051303866778021,0.011288477900083516,0.00119774470518794,2,5.294902944541701,1.0986122886681098,-4.196290655873591
1,0,3,1.3333333333333333,199.31828010075245,0.0,195.85417848561468,1.0,0.0,3.0,0.015051303866778021,0.011288477900083516,0.00119774470518794,2,5.294902944541701,1.0986122886681098,-4.196290655873591
0,2,6,3.3333333333333335,nan,nan,342.1761567090884,2.499999999999999,0.0,6.972135954999579,inf,inf,inf,3,0,1.9419216276110196,1.9419216276110196
1,1,8,3.0,nan,nan,350.36720868232754,4.937069995734473,339.18340410515555,349.0194535864564,inf,inf,inf,3,0,5.855127661584364,5.855127661584364
2,0,6,3.3333333333333335,nan,nan,342.1761567090884,2.499999999999999,0.0,6.972135954999579,inf,inf,inf,3,0,1.9419216276110196,1.9419216276110196
